x
GPR15
LRRN3
S1PR5
PID1
FGFBP2
TBX21
TRDC
PRSS23
NKG7
CCR4
SPON2
GPR56
KLRD1
CHST2
CLDND1
PRF1
GZMH
GPR55
FCRL6
MAL
TGFBR3
GZMA
LGR6
PYHIN1
TNFRSF13B
CX3CR1
KLRF1
GZMB
STAB1
CDKN1C
CD38
PF4
SH2D1B
EOMES
TTC38
VCAN
SLAMF7
MYC
SPARC
IL7R
LEF1
PPBP
PRR5L
STOM
FCGR3A
CD160
IGJ
RAB27B
NMUR1
CCL5
AC063977.1
GNLY
CACNA2D2
ADAMTS1
PDZD4
ASGR2
DSC2
POU2AF1
USP28
HOPX
GP1BA
FOXP3
TTC25
GNG2
AQP3
RCAN3
KLRB1
GNAZ
PRKAR2B
SAMD3
CST7
ALAS2
FEZ1
PPP2R2B
SASH1
RHOC
SEPT11
SH3BGRL2
GFI1
TESPA1
PRDX6
EIF2AK1
CUX1
CCR7
PTGS1
ITGB3
MX1
INPP4B
MAPRE2
ABI3
PDGFD
ADORA3
VSIG1
DGKA
OAS3
TSPAN2
ISG15
PCDH1
GUCY1A3
RUNX3
IFI44L
SELP
GNB2L1
FBXL16
ALDH2
SFXN1
LTBP1
CDC25B
CD226
KLRK1
C1orf21
LTB
LSR
IL2RB
TFPI
VCL
MPP1
VSIG2
MTPN
PASK
PAIP2
TCF7
BCL2
EPB41L3
CST3
SDPR
CA2
DNAJC1
SNHG1
RARRES3
RNF157
TUBB1
