"X","tissue","color","SMTSDABREV","SMTSD","SMTSCUSTOM","TISSUENAMEABREV"
"HeartAtrialAppendage","HeartAtrialAppendage","mediumorchid3","HRTAA","Heart - Atrial Appendage","Heart - Atrial Appendage","Heart Atrial Appendage"
"HeartLeftVentricle","HeartLeftVentricle","mediumorchid4","HRTLV","Heart - Left Ventricle","Heart - Left Ventricle","Heart Ventricle"
"ArteryAorta","ArteryAorta","maroon4","ARTAORT","Artery - Aorta","Artery - Aorta","Artery Aorta"
"BreastMammaryTissue","BreastMammaryTissue","cyan3","BREAST","Breast - Mammary Tissue","Breast - Mammary Tissue","Breast"
"AdiposeVisceralOmentum","AdiposeVisceralOmentum","orange2","ADPVSC","Adipose - Visceral (Omentum)","Adipose - Visceral","Adipose Visceral"
"EsophagusMuscularis","EsophagusMuscularis","burlywood3","ESPMSL","Esophagus - Muscularis","Esophagus - Muscularis","Esophagus Muscularis"
"EsophagusMucosa","EsophagusMucosa","#332288","ESPMCS","Esophagus - Mucosa","Esophagus - Mucosa","Esophagus Mucosa"
"Lung","Lung","olivedrab3","LUNG","Lung","Lung","Lung"
"SkinNotSunExposedSuprapubic","SkinNotSunExposedSuprapubic","royalblue3","SKINNS","Skin - Not Sun Exposed (Suprapubic)","Skin - Not Sun Exposed","Skin Suprapubic"
"NerveTibial","NerveTibial","gold1","NERVET","Nerve - Tibial","Nerve - Tibial","Nerve Tibial"
"ArteryTibial","ArteryTibial","red","ARTTBL","Artery - Tibial","Artery - Tibial","Artery Tibial"
"AdiposeSubcutaneous","AdiposeSubcutaneous","tan1","ADPSBQ","Adipose - Subcutaneous","Adipose - Subcutaneous","Adipose Subcutaneous"
"Thyroid","Thyroid","springgreen4","THYROID","Thyroid","Thyroid","Thyroid"
"SkinSunExposedLowerleg","SkinSunExposedLowerleg","dodgerblue","SKINS","Skin - Sun Exposed (Lower leg)","Skin - Sun Exposed","Skin Lower Leg"
"WholeBlood","WholeBlood","magenta","WHLBLD","Whole Blood","Whole Blood","Whole Blood"
"MuscleSkeletal","MuscleSkeletal","slateblue2","MSCLSK","Muscle - Skeletal","Muscle - Skeletal","Muscle"
