x
VSIG1
PLD3
HK3
NFYB
EVL
TNNC2
GUSB
GPR126
STX6
CCNB2
NEDD4L
TOMM34
LRRK2
SULT1C2
PKD1L1
C6orf138
CTSL1
WASF3
ACADSB
C6orf173
GALNTL4
SLC47A1
DDHD2
RNFT2
B3GALNT1
PLAUR
KIAA1919
CCL11
P2RY14
EGR2
NCRNA00082
CTSE
EML4
SLFN13
EYA4
CYBB
C4BPA
RTN2
FGA
TTLL4
UCHL1
RPS27L
ASGR2
INPP5A
ATP5S
ADORA3
TMEM92
RDH10
DAB2IP
MR1
PROM2
FERMT2
MT1F
AMOT
CAPG
KIAA0408
WDFY4
RAP1GDS1
STARD9
RGS12
GBP4
UBE2F
CDC42EP3
SV2B
FOXO3
GPM6B
PLSCR4
NUTF2
C1orf115
PRICKLE2
TNFAIP2
MAPK13
PLCB2
ASAH1
TGFBR1
LYN
TMEM53
OLFML1
FCRLB
ADAP2
PDE4C
TEK
SGSM1
CYP3A5
PHF2
PFKP
SMARCA5
ANGPTL1
MEX3D
BCL2L15
MAD1L1
BCL2A1
SNTB1
GLS2
GPR110
PKP1
S1PR5
SIGLEC1
SH3BGRL3
ZFYVE26
NOX4
CDH13
NLRC5
TKT
CAV2
SPRED2
HCST
INMT
C1orf85
CAMK2A
ACSL5
PI4K2A
ZFP28
ETNK1
GGCX
IFI27
BLNK
PCDH12
SETD4
GGA2
STK39
TNS1
PALMD
MYOZ2
IL28RA
TSPYL4
RAP1A
AVPI1
PGPEP1
DERL1
TSHZ3
GPRASP2
GRK5
FCRL3
SFMBT2
BRE
CDKN1A
NCALD
ACACA
SH3TC1
SLC22A15
TBX5
ASGR1
KIAA0355
SPI1
PTCH1
MARVELD2
GNGT2
HECW2
DENND2A
ACSL1
CXCL3
MARCO
PBX1
QPRT
VAMP2
GCOM1
PHACTR1
PREPL
TMEM45B
CHCHD7
CBFA2T3
TANC2
VDAC1
LEPROTL1
KYNU
SLC31A1
PGAP1
GAPT
CLEC4A
MAP2
ZEB1
SERINC2
SLC15A3
SIAE
PRKAR2B
FLVCR1
C1orf151
BCAT1
OLR1
CCDC85A
PLA2G12B
MKL2
CTSZ
FAM20C
DPP3
MAL
TMED4
C12orf45
EPAS1
IGSF6
KIAA0329
HLA-DMB
KIAA1462
MYO1F
CYP1B1
CTSS
ZNF528
ZNF780A
C5AR1
PNMT
ELF5
LMAN1
CDH3
GNG2
REEP5
NPL
MACROD2
PIK3R1
DAPK2
THBS4
SPINK1
NEO1
ATP6V1D
DPT
TMED3
LAMB1
ZHX3
PSD3
TMEM35
SLC4A8
RETN
PYCARD
MCFD2
STYX
HPS1
SLC1A4
PTPRB
KCNAB2
KIAA1274
UTP18
NDRG2
ARHGEF10
ADRBK2
VGLL3
MAPK4
ARHGAP5
MS4A7
ALS2CR4
BZRAP1
PYGL
BMP6
ENTPD1
FLT4
ARHGAP30
PDZD4
PCNX
ECE2
RHOBTB3
CACHD1
TRIM22
GRB2
TM7SF4
MDH1
COL13A1
CD163
ATP8B2
PDE5A
EIF4E3
RAI2
SFRS18
TXNRD1
PDZD2
PSIP1
TYROBP
GK
ALG3
PDSS2
ELMOD2
SLC28A3
NRN1
PRELP
FLT1
TGFB2
MRPS15
KCTD5
SNX9
MATN2
FBXO41
C21orf71
HEXB
NET1
FGF1
SLC1A3
FYN
AIF1L
GVIN1
NDRG4
CCDC93
TTC22
SLC2A9
ABI2
SLITRK2
PCDHB16
SNX1
ZNF711
DDO
RERG
MAPKAP1
NEU1
ZNF704
OLFML3
OLFM2
SSR1
ADCK1
PRF1
BEND7
ROBO4
GPRIN3
LPHN3
LY86
PPFIBP1
CLEC12A
GPX4
UBASH3B
METTL7B
ARPC1B
VPS33A
FAR2
MARCHF1
FASN
ME1
ZSCAN18
C17orf60
GALNT6
NFIA
ZCCHC14
ARHGEF10L
RBMS3
MACF1
MMP7
FPGS
ABHD12
DDHD1
C8B
OTUD7B
ASB1
ZNF395
VANGL2
FERMT3
TSPAN9
TRPC1
PRSS36
USHBP1
P2RX4
KANK3
EIF4E2
CCL22
FHL1
TNFRSF19
TFRC
TRMT6
HMMR
PSME4
CTNND2
GSTZ1
PANX2
ANGPTL7
ENAH
CCBE1
SRXN1
ARHGAP12
FAM89A
TPRG1
TCHH
MOBKL2B
ITGA10
CATSPER1
APH1B
ITPR2
IL1RN
SLC7A7
ZNF471
CLEC7A
CYP1A1
BAZ2A
TOX2
TIMP2
MYO1C
TJP1
LNP1
GLUL
MCCC1
ABHD2
PNPO
CGNL1
AKR1A1
CLOCK
DAAM1
SLC46A3
H2AFV
TMED5
NPNT
PRKAB2
CXorf24
FLRT2
SLC8A1
GNPDA1
BTN3A3
BZW2
MYH10
POLR3K
TSPAN2
PPP1R1C
LIPA
GRINA
SLC25A19
CXCL12
SLC6A6
PTP4A1
MTHFD2
TMC5
LACTB
BAK1
MAPK1
CX3CR1
FRAS1
COL8A2
ALPK1
EIF4EBP1
ARHGAP20
HOMER2
PDE1C
POLI
CXorf26
ZNF507
FGG
DCUN1D1
AIFM2
SLC36A4
CDKN2A
DOPEY2
NIPA1
TLR1
SRD5A3
MAPRE2
PTPN6
RRAGD
KLF7
RASAL2
DHCR7
TRIM27
LOH3CR2A
C2orf65
VEPH1
CD86
TMEM38B
