"X","tissue","color","SMTSDABREV","SMTSD","SMTSCUSTOM","TISSUENAMEABREV","Name"
"Pituitary","Pituitary","darkseagreen2","PTTARY","Pituitary","Pituitary","Pituitary","Pituitary"
"Prostate","Prostate","grey85","PRSTTE","Prostate","Prostate","Prostate","Prostate"
"SkinNotSunExposedSuprapubic","SkinNotSunExposedSuprapubic","royalblue3","SKINNS","Skin - Not Sun Exposed (Suprapubic)","Skin - Not Sun Exposed","Skin Suprapubic","Skin suprapubic"
"SkinSunExposedLowerleg","SkinSunExposedLowerleg","dodgerblue","SKINS","Skin - Sun Exposed (Lower leg)","Skin - Sun Exposed","Skin Lower Leg","Skin lower leg"
"SmallIntestineTerminalIleum","SmallIntestineTerminalIleum","bisque3","SNTTRM","Small Intestine - Terminal Ileum","Small Intestine - Terminal Ileum","Small Intestine","Small intestine"
"Spleen","Spleen","bisque3","SPLEEN","Spleen","Spleen","Spleen","Spleen"
"Stomach","Stomach","burlywood1","STMACH","Stomach","Stomach","Stomach","Stomach"
"Testis","Testis","grey65","TESTIS","Testis","Testis","Testis","Testis"
"Thyroid","Thyroid","springgreen4","THYROID","Thyroid","Thyroid","Thyroid","Thyroid"
"Uterus","Uterus","mistyrose2","UTERUS","Uterus","Uterus","Uterus","Uterus"
"Vagina","Vagina","mistyrose2","VAGINA","Vagina","Vagina","Vagina","Vagina"
"WholeBlood","WholeBlood","magenta","WHLBLD","Whole Blood","Whole Blood","Whole Blood","Whole blood"
